,Unnamed: 0,X [s],Avanti sensor 1: EMG 1 [V],Avanti sensor 2: EMG 2 [V],Avanti sensor 3: EMG 3 [V],Avanti sensor 4: EMG 4 [V],Avanti sensor 5: EMG 5 [V],Avanti sensor 6: EMG 6 [V],Avanti sensor 7: EMG 7 [V],Avanti sensor 8: EMG 8 [V],Avanti sensor 9: EMG 9 [V],Avanti sensor 10: EMG 10 [V]
21856,21856,17.3562,-1.25887e-05,-1.02388e-05,-2.09812e-05,-1.59457e-05,-2.13169e-05,-5.20333e-06,5.03548e-06,-3.37377e-05,5.03548e-07,7.72107e-06
21857,21857,17.357,-1.66171e-05,-1.09102e-05,-2.3331e-05,-1.82956e-05,-2.3331e-05,-6.88182e-06,1.09102e-05,-3.10521e-05,-3.02129e-06,9.23171e-06
21858,21858,17.3578,-1.61135e-05,-1.19173e-05,-2.06455e-05,-1.82956e-05,-2.09812e-05,-6.54612e-06,7.55322e-06,-3.17235e-05,-5.53903e-06,8.89601e-06
21859,21859,17.3586,-1.2253e-05,-1.32601e-05,-1.98062e-05,-1.66171e-05,-1.8967e-05,-4.86763e-06,2.85344e-06,-3.10521e-05,-5.20333e-06,8.22461e-06
21860,21860,17.3594,-1.40993e-05,-1.35958e-05,-2.29953e-05,-2.1149e-05,-1.87991e-05,-4.53193e-06,6.54612e-06,-3.22271e-05,-1.84634e-06,9.23171e-06
21861,21861,17.3602,-1.32601e-05,-1.15816e-05,-2.09812e-05,-2.18204e-05,-1.69528e-05,-5.20333e-06,7.21752e-06,-3.60876e-05,-1.67849e-06,1.05745e-05
21862,21862,17.361,-1.46029e-05,-1.2253e-05,-2.03098e-05,-2.09812e-05,-1.51064e-05,-3.18914e-06,4.36408e-06,-3.54162e-05,-2.85344e-06,8.39246e-06
21863,21863,17.3618,-1.15816e-05,-1.52743e-05,-2.06455e-05,-2.40024e-05,-1.54421e-05,-4.19623e-06,1.84634e-06,-3.44091e-05,8.39246e-07,5.87472e-06
21864,21864,17.3626,-8.72816e-06,-2.03098e-05,-1.91348e-05,-2.29953e-05,-1.51064e-05,-3.52483e-06,6.54612e-06,-3.52483e-05,4.53193e-06,1.84634e-06
21865,21865,17.3634,-9.9031e-06,-1.96384e-05,-1.8967e-05,-2.03098e-05,-1.72885e-05,2.18204e-06,6.21042e-06,-3.72625e-05,5.87472e-06,-5.03548e-06
21866,21866,17.3642,-1.15816e-05,-1.7792e-05,-1.82956e-05,-2.06455e-05,-1.54421e-05,6.71397e-07,1.84634e-06,-3.77661e-05,7.21752e-06,-8.22461e-06
21867,21867,17.365,-1.17494e-05,-1.76242e-05,-1.69528e-05,-1.76242e-05,-1.561e-05,-1.67849e-07,-4.02838e-06,-3.3402e-05,9.9031e-06,-4.86763e-06
21868,21868,17.3658,-1.32601e-05,-1.39315e-05,-2.06455e-05,-1.62814e-05,-1.42672e-05,1.84634e-06,-6.54612e-06,-3.27306e-05,1.0071e-05,3.52483e-06
21869,21869,17.3666,-1.37636e-05,-1.15816e-05,-2.29953e-05,-1.561e-05,-1.14137e-05,5.03548e-07,-8.72816e-06,-3.47448e-05,9.56741e-06,1.86313e-05
21870,21870,17.3674,-1.29244e-05,-5.70687e-06,-2.18204e-05,-1.37636e-05,-1.14137e-05,-1.0071e-06,-3.18914e-06,-3.17235e-05,1.59457e-05,2.6688e-05
21871,21871,17.3681,-1.27565e-05,-6.88182e-06,-2.23239e-05,-1.29244e-05,-1.32601e-05,-1.51064e-06,-1.67849e-07,-3.07164e-05,1.39315e-05,2.13169e-05
21872,21872,17.3689,-1.25887e-05,-8.89601e-06,-2.13169e-05,-1.42672e-05,-1.42672e-05,-3.69268e-06,-1.67849e-07,-3.10521e-05,6.71397e-06,1.19173e-05
21873,21873,17.3697,-1.19173e-05,-6.88182e-06,-2.03098e-05,-1.42672e-05,-1.49386e-05,-5.53903e-06,1.0071e-06,-3.30663e-05,2.51774e-06,2.18204e-06
21874,21874,17.3705,-1.10781e-05,-1.12459e-05,-2.03098e-05,-1.52743e-05,-1.35958e-05,-8.72816e-06,3.18914e-06,-3.37377e-05,5.03548e-07,8.39246e-07
21875,21875,17.3713,-9.9031e-06,-1.59457e-05,-2.19883e-05,-1.17494e-05,-1.29244e-05,-1.05745e-05,7.21752e-06,-3.13878e-05,6.54612e-06,2.85344e-06
21876,21876,17.3721,-1.2253e-05,-1.66171e-05,-2.36667e-05,-9.56741e-06,-1.72885e-05,-1.05745e-05,7.88891e-06,-2.68559e-05,1.12459e-05,2.85344e-06
21877,21877,17.3729,-1.52743e-05,-1.79599e-05,-2.36667e-05,-1.17494e-05,-1.49386e-05,-9.56741e-06,8.56031e-06,-2.70237e-05,1.10781e-05,3.52483e-06
21878,21878,17.3737,-1.561e-05,-1.99741e-05,-2.16526e-05,-1.30922e-05,-1.82956e-05,-7.88891e-06,4.53193e-06,-2.53452e-05,1.25887e-05,6.37827e-06
21879,21879,17.3745,-1.42672e-05,-1.8967e-05,-2.56809e-05,-1.37636e-05,-2.60166e-05,-7.55322e-06,-1.51064e-06,-2.56809e-05,6.21042e-06,6.21042e-06
21880,21880,17.3753,-1.35958e-05,-1.54421e-05,-2.70237e-05,-1.37636e-05,-2.29953e-05,-7.55322e-06,2.51774e-06,-2.70237e-05,8.22461e-06,9.23171e-06
21881,21881,17.3761,-1.35958e-05,-1.72885e-05,-2.24918e-05,-1.51064e-05,-1.8967e-05,-6.21042e-06,8.56031e-06,-2.87022e-05,5.87472e-06,6.54612e-06
21882,21882,17.3769,-1.42672e-05,-1.84634e-05,-2.29953e-05,-1.69528e-05,-2.13169e-05,-4.69978e-06,8.05676e-06,-2.95415e-05,4.86763e-06,4.86763e-06
21883,21883,17.3777,-1.40993e-05,-2.09812e-05,-2.3331e-05,-1.64492e-05,-2.09812e-05,-5.53903e-06,5.70687e-06,-2.88701e-05,6.37827e-06,1.17494e-06
21884,21884,17.3785,-1.29244e-05,-2.3331e-05,-2.43381e-05,-1.93027e-05,-2.03098e-05,-6.37827e-06,7.04967e-06,-2.93736e-05,4.86763e-06,-3.35698e-07
21885,21885,17.3793,-1.25887e-05,-2.16526e-05,-2.29953e-05,-1.98062e-05,-1.91348e-05,-5.87472e-06,9.73526e-06,-2.97093e-05,3.52483e-06,-1.67849e-07
21886,21886,17.3801,-1.32601e-05,-2.03098e-05,-2.09812e-05,-1.82956e-05,-1.79599e-05,-8.22461e-06,9.9031e-06,-3.13878e-05,4.86763e-06,2.18204e-06
