,Unnamed: 0,X [s],Avanti sensor 1: EMG 1 [V],Avanti sensor 2: EMG 2 [V],Avanti sensor 3: EMG 3 [V],Avanti sensor 4: EMG 4 [V],Avanti sensor 5: EMG 5 [V],Avanti sensor 6: EMG 6 [V],Avanti sensor 7: EMG 7 [V],Avanti sensor 8: EMG 8 [V],Avanti sensor 9: EMG 9 [V],Avanti sensor 10: EMG 10 [V]
44868,44868,35.6305,-1.02388e-05,-1.2253e-05,-2.19883e-05,-1.09102e-05,-2.97093e-05,-2.51774e-06,0.00019118,0.000167514,1.69528e-05,1.84634e-05
44869,44869,35.6313,-9.9031e-06,-1.4435e-05,-1.86313e-05,-9.56741e-06,-2.55131e-05,-1.84634e-06,0.000198566,0.000191684,1.29244e-05,1.57778e-05
44870,44870,35.6321,-1.17494e-05,-1.71206e-05,-2.29953e-05,-1.69528e-05,-2.43381e-05,-5.03548e-07,0.000111452,0.000322438,9.23171e-06,1.39315e-05
44871,44871,35.6329,-1.79599e-05,-2.09812e-05,-2.3331e-05,-3.6759e-05,-2.60166e-05,-4.19623e-06,3.37377e-05,0.000482902,1.52743e-05,1.39315e-05
44872,44872,35.6336,-2.09812e-05,-2.26596e-05,-2.16526e-05,-4.16266e-05,-2.46738e-05,-4.53193e-06,2.98772e-05,0.00038555,1.93027e-05,1.52743e-05
44873,44873,35.6344,-2.23239e-05,-1.86313e-05,-2.16526e-05,-1.86313e-05,-1.35958e-05,-5.03548e-06,2.56809e-05,0.000272755,1.59457e-05,1.46029e-05
44874,44874,35.6352,-2.04776e-05,-1.02388e-05,-2.23239e-05,-2.85344e-06,-3.18914e-06,-7.21752e-06,8.39246e-07,0.000199573,2.31632e-05,1.15816e-05
44875,44875,35.636,-1.4435e-05,-6.88182e-06,-2.63523e-05,3.69268e-06,-8.39246e-06,-7.55322e-06,3.3402e-05,0.000114305,4.48157e-05,1.05745e-05
44876,44876,35.6368,-1.46029e-05,-1.09102e-05,-2.70237e-05,4.19623e-06,-1.4435e-05,-5.70687e-06,6.63004e-05,3.07164e-05,4.66621e-05,9.73526e-06
44877,44877,35.6376,-1.86313e-05,-1.02388e-05,-2.53452e-05,3.86053e-06,-2.61845e-05,-2.85344e-06,6.54612e-06,-3.77661e-05,4.07874e-05,8.72816e-06
44878,44878,35.6384,-1.72885e-05,-1.19173e-05,-2.97093e-05,-3.52483e-06,-3.13878e-05,-6.21042e-06,-1.4435e-05,-6.79789e-05,3.13878e-05,6.54612e-06
44879,44879,35.6392,-1.561e-05,-8.22461e-06,-2.98772e-05,-6.71397e-07,-2.46738e-05,-7.38537e-06,-9.9031e-06,-6.1265e-05,2.63523e-05,4.69978e-06
